X,Y,Concentrations,Migration_front,Vx,Vy,Q
25.0,285.0,7.136241536863364e-54,0,-0.02122097757288565,0.012025433129636554,0.0
25.0,295.0,1.7924764078314917e-53,0,-0.020259174521370046,0.012480476023360281,0.0
25.0,305.0,4.9884831570495225e-53,0,-0.019310822642688498,0.012849385873243021,0.0
25.0,315.0,1.5280375912013875e-52,0,-0.018384663021228275,0.013140403564895875,0.0
25.0,325.0,5.119725295724727e-52,0,-0.01748723974001278,0.013361811841314374,0.0
25.0,335.0,1.865355925890404e-51,0,-0.01662320566432785,0.013521647477941635,0.0
25.0,345.0,7.34991789661869e-51,0,-0.01579563610460297,0.013627508087683328,0.0
25.0,355.0,3.115678564901903e-50,0,-0.015006325829255231,0.01368643471660903,0.0
25.0,365.0,1.4140009180719442e-49,0,-0.014256055812127726,0.013704852126675528,0.0
25.0,375.0,9.289597551880377e-52,0,-0.013544823858280817,0.01368855095484249,0.0
25.0,385.0,8.058913156148748e-57,0,-0.012872038306300947,0.013642698800437043,0.0
35.0,5.0,0.0,0,0.0,-0.013713637352000319,0.0
35.0,15.0,0.0,0,-0.01694566583406796,-0.013563919232434073,0.0
35.0,25.0,0.0,0,-0.017804267282621935,-0.013358158429261828,0.0
35.0,35.0,0.0,0,-0.01869757323638428,-0.013089057885972564,0.0
35.0,45.0,0.0,0,-0.019622786977982948,-0.012748810162416347,0.0
35.0,55.0,0.0,0,-0.020575760361596925,-0.012329208151329252,0.0
35.0,65.0,0.0,0,-0.02155067999406202,-0.011821832781464895,0.0
35.0,75.0,0.0,0,-0.022539718732781516,-0.011218343600944536,0.0
35.0,85.0,0.0,0,-0.023532672919946578,-0.010510899467994354,0.0
35.0,95.0,0.0,0,-0.02451662414572842,-0.009692732353143274,0.0
35.0,105.0,0.0,0,-0.025475688421849267,-0.008758883647999349,0.0
35.0,115.0,0.0,0,-0.02639094249107975,-0.007707085542517882,0.0
35.0,125.0,0.0,0,-0.02724063930031649,-0.006538728110809233,0.0
35.0,135.0,0.0,0,-0.028000829953012122,-0.005259798929905435,0.0
35.0,145.0,0.0,0,-0.028646481769996616,-0.0038816278098164304,0.0
35.0,155.0,0.0,0,-0.029153108025686873,-0.002421235213562049,0.0
35.0,165.0,0.0,0,-0.029498804113892222,-0.000901094577216215,0.0
35.0,175.0,0.0,0,-0.02966644063293898,0.0006518054136826371,0.0
35.0,185.0,0.0,0,-0.029645645042323122,0.0022075756650884724,0.0
35.0,195.0,0.0,0,-0.029434169192729058,0.0037355315916013485,0.0
35.0,205.0,1.6682072475523453e-50,0,-0.029038328315245318,0.005206466322125461,0.0
35.0,215.0,8.539592062965326e-51,0,-0.028472395820981336,0.006594719102696472,0.0
35.0,225.0,6.450397353193852e-51,0,-0.027757081248105903,0.007879720181979221,0.0
35.0,235.0,7.177386058667652e-51,0,-0.026917416268661478,0.009046830932819407,0.0
35.0,245.0,1.0315477622166148e-50,0,-0.025980459723890247,0.010087464143285851,0.0
35.0,255.0,1.800311166063476e-50,0,-0.024973195326161223,0.010998607474450993,0.0
35.0,265.0,3.658509577664014e-50,0,-0.0239208734731437,0.01178194915559356,0.0
35.0,275.0,8.459949202082976e-50,0,-0.022845901041505367,0.012442815915535534,0.0
35.0,285.0,2.202116666105748e-49,0,-0.021767259331342926,0.012989097673992808,0.0
35.0,295.0,6.400996738132285e-49,0,-0.02070035412090105,0.01343027727352385,0.0
35.0,305.0,2.0623493130142294e-48,0,-0.019657172861521813,0.013776627492357162,0.0
