X,Y,Concentrations,Crez,Vx,Vy
25.0,25.0,0.0,0,0.011474045315863908,0.008748424500065157
25.0,35.0,0.0,0,0.012001095862630975,0.008581504558362558
25.0,45.0,0.0,0,0.01254228435870761,0.008374945561923502
25.0,55.0,0.0,0,0.013094675016541699,0.008125249619760622
25.0,65.0,0.0,0,0.013654561638998836,0.007829093295973956
25.0,75.0,0.0,0,0.014217405794274227,0.007483475225783897
25.0,85.0,0.0,0,0.014777799985005868,0.0070858877699663605
25.0,95.0,0.0,0,0.015329466944209646,0.006634507773691534
25.0,105.0,0.0,0,0.015865306723347794,0.006128397791026292
25.0,115.0,0.0,0,0.016377502404309942,0.005567705099204066
25.0,125.0,0.0,0,0.016857692574679096,0.004953842003335401
25.0,135.0,0.0,0,0.017297213821950135,0.004289628080868864
25.0,145.0,0.0,0,0.017687409431401187,0.0035793740139016352
25.0,155.0,0.0,0,0.018019991721409494,0.0028288883250259514
25.0,165.0,0.0,0,0.018287436117659307,0.0020453931821106403
25.0,175.0,0.0,0,0.01848337677578244,0.001237343423597354
25.0,185.0,0.0,0,0.01860296818411161,0.0004141533053870166
25.0,195.0,0.0,0,0.018643176384855097,-0.0004141533053870166
25.0,205.0,0.0,0,0.01860296818411161,-0.001237343423597354
25.0,215.0,0.0,0,0.01848337677578244,-0.0020453931821106403
25.0,225.0,0.0,0,0.018287436117659307,-0.0028288883250259514
25.0,235.0,0.0,0,0.018019991721409494,-0.0035793740139016352
25.0,245.0,0.0,0,0.017687409431401187,-0.004289628080868864
25.0,255.0,0.0,0,0.017297213821950135,-0.004953842003335401
25.0,265.0,0.0,0,0.016857692574679096,-0.005567705099204066
25.0,275.0,0.0,0,0.016377502404309942,-0.006128397791026292
25.0,285.0,0.0,0,0.015865306723347794,-0.006634507773691534
25.0,295.0,0.0,0,0.015329466944209646,-0.0070858877699663605
25.0,305.0,0.0,0,0.014777799985005868,-0.007483475225783897
25.0,315.0,0.0,0,0.014217405794274227,-0.007829093295973956
25.0,325.0,0.0,0,0.013654561638998836,-0.008125249619760622
25.0,335.0,0.0,0,0.013094675016541699,-0.008374945561923502
25.0,345.0,0.0,0,0.01254228435870761,-0.008581504558362558
25.0,355.0,0.0,0,0.012001095862630975,-0.008748424500065157
25.0,365.0,0.0,0,0.011474045315863908,-0.008879256034044866
25.0,375.0,0.0,0,0.010963375170228013,-0.008977506374138867
25.0,385.0,0.0,0,0.010470718919039779,-0.009046566678009803
35.0,5.0,0.0,0,0.0,0.009470345344127029
35.0,15.0,0.0,0,0.01104352448519789,0.009390196029157197
35.0,25.0,0.0,0,0.011588394929963582,0.009275846415057524
35.0,35.0,0.0,0,0.012153762105730426,0.009123180171958073
35.0,45.0,0.0,0,0.012737512377454846,0.008927952153210881
35.0,55.0,0.0,0,0.013336735601321204,0.008685891568431333
35.0,65.0,0.0,0,0.013947614585323018,0.00839283862210715
35.0,75.0,0.0,0,0.014565327536198627,0.008044916880182685
35.0,85.0,0.0,0,0.015183975917307399,0.0076387409478811535
35.0,95.0,0.0,0,0.01579655274689084,0.007171655145200094
35.0,105.0,0.0,0,0.016394968074636706,0.006641993793911045
35.0,115.0,0.0,0,0.016970148389939967,0.006049347808281132
35.0,125.0,0.0,0,0.0175122241721525,0.005394816210807641
35.0,135.0,0.0,0,0.018010813963142944,0.004681216069614877
35.0,145.0,0.0,0,0.018455403931004737,0.003913221570011339
35.0,155.0,0.0,0,0.018835809365797127,0.0030974039256236956
35.0,165.0,0.0,0,0.019142690366165695,0.002242149677117284
35.0,175.0,0.0,0,0.0193680805946781,0.0013574458582216427
35.0,185.0,0.0,0,0.019505878474932705,0.0004545355674005374
35.0,195.0,0.0,0,0.019552247519656205,-0.0004545355674005374
35.0,205.0,0.0,0,0.019505878474932705,-0.0013574458582216427
35.0,215.0,0.0,0,0.0193680805946781,-0.002242149677117284
35.0,225.0,0.0,0,0.019142690366165695,-0.0030974039256236956
35.0,235.0,0.0,0,0.018835809365797127,-0.003913221570011339
35.0,245.0,0.0,0,0.018455403931004737,-0.004681216069614877
35.0,255.0,0.0,0,0.018010813963142944,-0.005394816210807641
35.0,265.0,0.0,0,0.0175122241721525,-0.006049347808281132
35.0,275.0,0.0,0,0.016970148389939967,-0.006641993793911045
35.0,285.0,0.0,0,0.016394968074636706,-0.007171655145200094
35.0,295.0,0.0,0,0.01579655274689084,-0.0076387409478811535
35.0,305.0,0.0,0,0.015183975917307399,-0.008044916880182685
35.0,315.0,0.0,0,0.014565327536198627,-0.00839283862210715
35.0,325.0,0.0,0,0.013947614585323018,-0.008685891568431333
35.0,335.0,0.0,0,0.013336735601321204,-0.008927952153210881
35.0,345.0,0.0,0,0.012737512377454846,-0.009123180171958073
35.0,355.0,0.0,0,0.012153762105730426,-0.009275846415057524
35.0,365.0,0.0,0,0.011588394929963582,-0.009390196029157197
35.0,375.0,0.0,0,0.01104352448519789,-0.009470345344127029
35.0,385.0,0.0,0,0.010520581879591524,-0.009520208304678819
45.0,5.0,0.0,0,0.0,0.009993428281729905
45.0,15.0,0.0,0,0.011101650869327512,0.009935301897600283
45.0,25.0,0.0,0,0.011682134163768893,0.009841562663794927
45.0,35.0,0.0,0,0.012287912419587262,0.009707412349938091
45.0,45.0,0.0,0,0.012917115923304138,0.009527808804088756
45.0,55.0,0.0,0,0.013566972300069865,0.009297572105340136
45.0,65.0,0.0,0,0.014233652993438862,0.009011533697224338
45.0,75.0,0.0,0,0.014912127519677215,0.008664733713745704
45.0,85.0,0.0,0,0.01559604084084135,0.00825266879021173
45.0,95.0,0.0,0,0.01627763364772801,0.007771587889374519
45.0,105.0,0.0,0,0.016947729041782805,0.007218826922228534
45.0,115.0,0.0,0,0.01759581086970687,0.006593164442461547
45.0,125.0,0.0,0,0.018210217349946767,0.005895171264667322
45.0,135.0,0.0,0,0.018778467206422844,0.005127518021387423
45.0,145.0,0.0,0,0.019287723351992796,0.004295198600399365
45.0,155.0,0.0,0,0.019725381399991533,0.0034056265662049945
45.0,165.0,0.0,0,0.020079748733892157,0.0024685681984785027
45.0,175.0,0.0,0,0.020340758189888567,0.0014958906032680318
45.0,185.0,0.0,0,0.020500643661416733,0.000501125416784022
45.0,195.0,0.0,0,0.020554498353224225,-0.000501125416784022
45.0,205.0,0.0,0,0.020500643661416733,-0.0014958906032680318
